RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,CountyName,D_2015_03_31,D_2015_04_30,D_2015_05_31,D_2015_06_30,D_2015_07_31,D_2015_08_31,D_2015_09_30,D_2015_10_31,D_2015_11_30,D_2015_12_31,D_2016_01_31,D_2016_02_29,D_2016_03_31,D_2016_04_30,D_2016_05_31,D_2016_06_30,D_2016_07_31,D_2016_08_31,D_2016_09_30,D_2016_10_31,D_2016_11_30,D_2016_12_31,D_2017_01_31,D_2017_02_28,D_2017_03_31,D_2017_04_30,D_2017_05_31,D_2017_06_30,D_2017_07_31,D_2017_08_31,D_2017_09_30,D_2017_10_31,D_2017_11_30,D_2017_12_31,D_2018_01_31,D_2018_02_28,D_2018_03_31,D_2018_04_30,D_2018_05_31,D_2018_06_30,D_2018_07_31,D_2018_08_31,D_2018_09_30,D_2018_10_31,D_2018_11_30,D_2018_12_31,D_2019_01_31,D_2019_02_28,D_2019_03_31,D_2019_04_30,D_2019_05_31,D_2019_06_30,D_2019_07_31,D_2019_08_31,D_2019_09_30,D_2019_10_31,D_2019_11_30,D_2019_12_31,D_20D_20_01_31,D_20D_20_02_29,D_20D_20_03_31,D_20D_20_04_30,D_20D_20_05_31,D_20D_20_06_30,D_20D_20_07_31,D_20D_20_08_31,D_20D_20_09_30,D_20D_20_10_31,D_20D_20_11_30,D_20D_20_12_31,D_2021_01_31,D_2021_02_28,D_2021_03_31,D_2021_04_30,D_2021_05_31,D_2021_06_30,D_2021_07_31,D_2021_08_31,D_2021_09_30,D_2021_10_31,D_2021_11_30,D_2021_12_31,D_2022_01_31,D_2022_02_28,D_2022_03_31,D_2022_04_30,D_2022_05_31,D_2022_06_30,D_2022_07_31,D_2022_08_31,D_2022_09_30,D_2022_10_31,D_2022_11_30,D_2022_12_31,D_2023_01_31,D_2023_02_28
6181,0,New York,city,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,2603.4835345308793,2627.2981937126424,2650.166082403723,2673.00394577776,2688.259193195331,2704.042096901382,2714.1347722039754,2719.4460366482303,2709.925696198779,2696.012278440548,2684.5833095547123,2684.286998262131,2691.8306845405887,2701.702076024256,2715.9287508568705,2733.290361950157,2746.7961159331926,2757.386520014257,2760.5587753061704,2754.763051574425,2742.338110305613,2726.45559987685,2716.9294312225065,2714.44899546276,2720.443069985338,2734.7882400784724,2752.6756386366965,2770.8166451786183,2787.763409130125,2797.0564051488736,2793.9234027733482,2779.5043738149843,2758.9682343482805,2741.5493762724363,2732.9375788354155,2734.1496090410515,2748.480452056058,2766.1982650744867,2789.5578463658944,2808.427335542123,2825.8335971224874,2838.2143899187136,2843.374451561999,2837.3573737721827,2820.920389073269,2804.2731982891164,2795.136472328982,2801.5999662234854,2818.2307960486596,2840.460593101528,2866.2387444004435,2890.0872414384967,2911.7127083493506,2924.102094555581,2928.2104245430583,2921.2143609787845,2901.5564768021695,2887.301837361942,2887.5239121766144,2904.237789833882,2920.716495020702,2914.16120275495,2889.8329303204746,2850.596818798578,2808.3501056584964,,,2604.922998145443,2558.3717958796465,2532.2275590938807,2517.669057810172,2522.7508295901357,2545.506729470768,2588.8783346949313,2646.2262452360487,2717.686369199817,2800.540319973487,2878.6818683218103,2943.8317963498453,2980.228136498036,3006.411602122757,3024.3128630275196,3052.175658640331,3090.513503298554,3136.536905694982,3191.8434791864725,3259.728633725977,3332.0491714064788,3388.9305044296602,3417.4030173934734,3414.663086950285,3389.99675262317,3346.3317798553467,3313.5189468579506,3304.6521232114947,3319.482743377983
12447,1,Los Angeles,city,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,1948.1439896750708,1959.177267058325,1977.3487839863337,1990.5201188693966,2010.3101752382308,2026.534975124715,2046.7760502120655,2054.8178968860248,2063.08392280211,2060.9359734345985,2076.4516379020124,2092.6571768328317,2115.2780059967013,2118.984501137878,2131.2216558400128,2146.6153833610706,2161.8653221875106,2168.1975383787435,2169.268699822196,2178.260839716256,2181.415309976939,2188.0496702487885,2199.784288833204,2211.28444789872,2231.2892068965166,2243.8442548031103,2263.9807802352498,2270.185038544649,2283.4172583094223,2294.375306915101,2301.889395840649,2305.741988687053,2307.748177646203,2313.8065754034087,2318.6491917026347,2325.3309497834507,2336.443044639598,2348.0790657290736,2360.759046530081,2376.196493966422,2389.222893754123,2405.8943795130135,2414.8987589029502,2418.916210403988,2415.765548040539,2417.591861509584,2426.85753041138,2433.9350431576804,2442.4209907083996,2449.195405255158,2460.3475430597227,2472.6694904450746,2484.5350732558313,2495.349888398122,2499.783053461474,2500.2160704986386,2496.1589793793764,2497.8862313215786,2501.3541453494436,2509.959003747185,2509.3185849686297,2494.1740418389318,2469.374933526773,2449.9318975934116,2442.9737518140214,2433.9367351684614,2424.3770930784763,2415.6112296737183,2418.346251293455,2414.677369748561,2410.6922404887673,2405.400685240033,2414.891211549992,2432.8880533334755,2457.9783573549134,2489.742623429846,2532.3583595259947,2587.2162955435565,2629.3443332056013,2660.1872197275147,2676.7511082940005,2697.7607545800283,2719.2614063508486,2742.139766022186,2766.9328214057423,2792.939971463578,2827.1805661877265,2849.3032870485463,2873.446544105321,2887.115854667835,2901.6246576133804,2893.3520478429405,2886.2355341148805,2877.6638789932304,2876.4989768746623,2877.3958165518598
39051,2,Houston,city,TX,TX,"Houston-The Woodlands-Sugar Land, TX",Harris County,1280.253346311435,1287.965217580482,1299.0499243246131,1309.0122872814513,1313.1678969603686,1316.012318651776,1312.462959889438,1306.9093531414085,1302.4965543665312,1301.6156999514112,1303.6273491090155,1308.113833807362,1316.886212849671,1320.6505262980284,1318.3025145450597,1314.8129074076091,1314.493573424771,1311.954217213244,1306.6689754193123,1304.1032437766596,1299.0316342557792,1295.7821302731572,1288.811789020981,1293.684690214466,1300.8509327955119,1308.2444093394595,1313.7247112229516,1315.4505983639845,1316.4626776693822,1315.3780732579266,1316.2325363273105,1326.6756121612702,1336.976433025909,1345.5000342775559,1346.2102928806648,1348.4643271517941,1352.4014153682213,1360.0086240004093,1363.9690778446936,1368.492611806224,1372.0024728387716,1372.982240408382,1370.8185456375306,1367.8261079202744,1369.966560652951,1369.0167525808217,1366.3130493024819,1361.7079211977202,1365.4353610195838,1370.3550153532858,1379.2346689901894,1385.840160352698,1392.3092991866304,1394.7436147896478,1391.9291179364518,1389.0229641789504,1385.3112919242415,1388.112404668877,1389.22298033035,1391.7503079167614,1394.3527718122687,1388.0870312438035,1378.7545629977797,1367.8723077569543,1365.7800782023644,1365.8022431156462,1364.3976084279525,1366.7004537640141,1369.915404864797,1371.0716686848764,1367.7074874173907,1364.7171404965939,1370.1182631107752,1385.6041093004028,1412.074973866678,1444.1935834135536,1474.8360961394108,1500.902701565459,1511.5805550687553,1520.1532562961038,1521.5706971771456,1529.0668859251916,1532.245291415049,1539.9999598361167,1547.755164509796,1557.3184195164288,1570.4620446415618,1583.788500120761,1595.456159091202,1602.164123840717,1601.18662240545,1596.5226799895822,1589.0269599204514,1584.8648509424622,1591.410190696551,1601.423407990051
17426,3,Chicago,city,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,1534.3966537934082,1550.1713782441705,1564.5916505485366,1596.3745095974386,1604.4259636864124,1612.0884884472098,1609.5859294173797,1599.5255519082482,1586.685934487863,1579.0832141463359,1586.5243446492032,1598.8476204772307,1614.3889007901862,1625.085354742019,1637.1605064784867,1648.2237574437972,1656.6598377490864,1657.0409468540151,1648.3821127424073,1633.4941261799645,1618.3276752419558,1611.7057933742408,1612.4920941769233,1628.1503022569425,1646.0251505888375,1666.2515056200148,1678.6863513781257,1686.703892094162,1691.7421551380087,1689.2135770289733,1679.6736934105056,1665.6660020746162,1652.5505958813935,1646.9025870372009,1651.00653539017,1660.9526865597227,1675.837839778393,1688.134302093041,1702.3361970214448,1714.6533371686412,1721.148220452483,1719.4958965060755,1710.2985565556571,1695.1042396926298,1683.2411359527146,1674.9233153603916,1680.4721547717804,1691.6810162630404,1709.1945456312724,1727.6005181174212,1742.980938091834,1756.210077405893,1763.4329302680521,1765.2644054095126,1759.7768535468579,1750.2618387720408,1736.7678171250807,1729.2294638257326,1731.7479749291826,1744.900473840315,1760.48049845851,1764.5761292385316,1763.9248202257822,1757.4889562637504,1753.5556105505204,1740.6446134509797,1716.312653308909,1682.566545215265,1652.1065631469264,1633.5180397217314,1630.373006564046,1639.0562487152508,1664.1933563120583,1700.2387777628119,1742.1009123714546,1775.9463953288332,1797.6095166125604,1813.904757458847,1817.0258697038269,1815.9241116248759,1807.8153925538884,1813.505754491184,1828.8430537727313,1849.9687153733362,1874.0377707350383,1898.467038241001,1927.228109588855,1949.5870967361745,1968.538213683155,1974.1581669168584,1972.8474202526374,1968.0107758343815,1960.4417173343738,1960.9176338683988,1967.2039894121554,1983.9875485866396
6915,4,San Antonio,city,TX,TX,"San Antonio-New Braunfels, TX",Bexar County,1015.4100605954956,1023.7485317946869,1033.2888802129576,1040.661217312628,1044.3225232871582,1044.2075506536528,1042.0685892022075,1042.6745594485997,1046.0119904225414,1051.895907697384,1052.6117916149835,1055.5614649161616,1060.9824713777507,1070.0860438928912,1075.29703904063,1075.7223149719862,1074.7855619736638,1077.7892770277483,1080.0903345757401,1081.6031736982934,1082.6586477972567,1081.0846091962799,1083.3347499404304,1087.6949002394601,1095.182787010225,1101.9492009003604,1104.9155694450417,1109.930743631372,1114.9257150001008,1116.5390326001204,1114.8484391216612,1111.9628793155641,1110.2220671398818,1108.9104971911406,1108.2066195903633,1109.0628843192526,1115.3160407186078,1121.073101284006,1129.0107429216794,1134.6435882609112,1141.350376216843,1147.7187034360104,1150.3470214465005,1151.4647329170566,1150.9661984905838,1148.341258297268,1148.6590156107652,1149.4699216193962,1156.1271808040544,1159.5525073607182,1167.741558845341,1174.3038417483351,1184.6644144181312,1190.8325210538776,1195.5804975919807,1195.8206809333399,1188.4716629181623,1184.4020136764557,1182.4211544683205,1185.139394140364,1185.8536743635136,1183.2332607058124,1182.2076132006655,1182.3041154645748,1187.6703963289222,1194.898982127624,1199.8744714467532,1201.8014856395744,1201.8300933111857,1203.0429067408272,1206.120650810459,1208.1274010100576,1217.132372259695,1230.5004814351682,1250.462180788143,1273.903772062395,1303.274858679004,1338.7985064260267,1366.6062840273844,1379.0866777112285,1380.0760818311592,1383.3980582406693,1387.4085112192836,1395.0759198884693,1401.9887429113053,1417.581020463489,1437.142831880478,1453.6178153276278,1468.9882030029203,1470.2571504491623,1468.3874020147387,1458.7483281009252,1455.5091315317375,1450.7419664602332,1454.125539208049,1451.822543263432
40326,5,Phoenix,city,AZ,AZ,"Phoenix-Mesa-Chandler, AZ",Maricopa County,925.8227322369759,941.2865974797336,945.7801044262396,953.802242216889,953.9269211886832,957.3229554424876,961.9030321131622,962.9240849818398,965.7581570191649,965.2201632080448,968.9954565254296,975.128914905291,986.5708294691765,998.246032131436,1008.6602211370479,1013.2308132764915,1014.6517469419487,1014.3731024063961,1014.7204692207573,1017.6097248954352,1017.7420800570903,1019.2060963280036,1024.5424758935023,1034.388545102698,1044.585359064571,1055.356287925986,1065.84255492354,1075.0506199361625,1079.3989202057253,1081.4403313496684,1079.1309901402765,1082.225695412659,1083.1876359351068,1086.5804483843108,1086.4530785578536,1089.7245367674102,1103.1342001789728,1120.152095132012,1135.4400188696823,1142.2701224446728,1147.549275980626,1155.777206349344,1163.0889224810544,1168.6151824124092,1172.8851959051754,1177.5191786290343,1180.073335813292,1189.685508938275,1201.1153190786881,1217.47256471495,1228.2931707353478,1239.4165657190044,1246.1461686101122,1253.3256613809388,1257.06526316542,1261.3995928135164,1263.3028449403103,1274.138062250655,1280.6935168219368,1295.1456857688272,1298.1913687617382,1299.5416040836444,1295.9226346077069,1299.9065248969966,1309.263753674045,1321.4097594974357,1334.4634618299256,1348.4875242589253,1359.8412963847668,1366.7783218084942,1378.3740556110893,1387.524468629882,1410.9760314948096,1442.4238776203197,1492.6897950362588,1540.6627530335759,1595.1757454286435,1640.9928502838163,1679.4353674495717,1698.9716790411958,1716.678889387903,1728.8362670239314,1740.0959745362677,1743.5704327798464,1756.6349872501614,1773.1065483518655,1795.1662492189198,1805.2520617112675,1809.5249687920862,1803.1596678587857,1794.6071026507664,1789.4486791442307,1779.6081253727496,1776.4563490753808,1764.1110128459673,1765.4855564111895
13271,6,Philadelphia,city,PA,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia County,1285.378353554152,1293.0761675853369,1304.6160171162292,1312.21426676536,1316.4846306009651,1319.9462364787496,1315.0165554958564,1311.3903395966597,1309.1800685458081,1308.6124326590304,1312.623649423651,1315.263984763819,1328.8159226051766,1337.0673915762877,1346.2672197651993,1351.3134526508513,1354.0575976734567,1353.8468131286377,1350.32034760486,1348.7102056676513,1349.613615408355,1348.76868571299,1347.9332680646899,1353.6233322548517,1364.012911784371,1376.6666432647992,1382.3824393012258,1387.516020532907,1390.7558743913328,1392.1979382633956,1389.1272667473984,1387.0732839884145,1383.0876979873424,1385.2257126157106,1385.4030043658797,1392.6298675848316,1401.9823839381647,1413.7067086408063,1424.0027329666777,1429.0101338687632,1431.140759728835,1431.1400978844479,1429.1832022363976,1429.754326954732,1431.6289607862232,1433.6936631827464,1437.0476309283729,1441.3304665866249,1451.5165806120694,1461.2227336389549,1469.2922849499898,1477.8633632573112,1484.5178247819397,1486.5002932837633,1483.7606544117525,1479.9246013864283,1481.2840747719351,1481.2104835437374,1483.2636162020895,1491.3547977668861,1499.4754742888276,1503.591539586523,1499.3989905193712,1498.1985591480825,1501.8541320581132,1505.0763747446872,1501.1782729955294,1492.8389790461476,1485.6220550941505,1483.4313190780445,1484.255509119722,1485.2833792388035,1493.9110717939484,1508.0782495036094,1530.5325246130592,1548.2193080922211,1566.1721127893773,1584.8714726667292,1601.7602105054643,1611.7685907680589,1612.7488455281216,1619.9011881512201,1625.107076644876,1635.056415928799,1645.1426346747867,1663.4572734168546,1680.8854060351425,1695.2249212666184,1703.7895049073356,1711.6543482051825,1710.5919636549004,1705.4225502651552,1699.6099182043824,1695.8346011049955,1698.6483280935217,1701.2554714393534
18959,7,Las Vegas,city,NV,NV,"Las Vegas-Henderson-Paradise, NV",Clark County,1037.339443211711,1046.7952234105105,1051.986855692213,1060.8363308944101,1066.0875581387388,1072.4457514091685,1075.4427225672648,1074.7801802905697,1074.0382550970678,1072.68982429065,1074.4934575747254,1078.6827245404515,1085.4893793138374,1091.2315808713493,1100.1398427139068,1108.5291097985937,1115.3313350897554,1117.7222296162038,1117.8443485544688,1119.6451180862705,1119.3996593112222,1119.1116266510776,1120.8768952253852,1128.6110965462162,1139.2718176281492,1149.9940385208467,1158.8496632258666,1167.120029644393,1175.2834215889143,1181.282858183029,1185.0718943734976,1186.4791645792113,1187.8844062457565,1191.644802150164,1195.3578799326413,1203.9248386773158,1211.897419269699,1226.1761740927263,1237.9890142802697,1250.5629242397906,1259.153777824677,1266.6817120414423,1270.6069230803087,1274.3221121621966,1275.9962829585613,1278.3544872468983,1281.2357821750336,1286.948741119316,1297.397170449328,1308.6401706043725,1320.92573034982,1331.4316249827114,1340.3975121573144,1347.1838779698987,1348.6678312823622,1347.9218384531762,1344.5275056071544,1344.4111319776557,1345.9722552348903,1352.303852819862,1359.3202997041822,1352.5986140340106,1345.7459583161901,1344.3282534694265,1362.6977634180594,1382.8217456354469,1401.291889035586,1415.3839781203894,1426.3624347221685,1432.6878773904737,1440.4278807543697,1452.7081062131717,1469.7632189990713,1498.0654897681352,1542.0274068152787,1601.2382046493194,1664.6115653555466,1723.406552517828,1764.3380193846067,1783.3552215860188,1785.4431899300366,1787.229707642202,1793.896420805835,1803.9092244240317,1812.506901464348,1827.1428489913933,1846.808468119783,1867.0472725016236,1879.0060558105622,1865.5258828312558,1845.4935377445343,1813.0357571881948,1795.9333240702067,1779.6966596740824,1781.0271461405587,1787.9613659671886
54296,8,San Diego,city,CA,CA,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,1816.194226800689,1829.8424300108302,1834.9839969577645,1841.3540670782204,1851.7716626285303,1865.9695181643472,1878.1953684597083,1881.0173739954012,1889.9383718440668,1890.0966511914198,1901.7427848608877,1908.6829801932208,1925.0268501979513,1935.3349293055498,1947.5261639133403,1959.9606125238622,1964.5760428456524,1970.2404763633747,1971.4727846072715,1982.787066986137,1983.7458112251397,1980.931248013821,1982.4378753658782,1999.0564899926112,2016.4689951939072,2034.269352878906,2047.4747660800451,2066.729689306471,2083.911219341332,2092.1981047823833,2094.1632919511994,2092.1386927293306,2086.3364783547927,2086.3758918704957,2094.1002722641265,2111.175426374234,2126.901895307855,2138.816551525164,2154.6210881956986,2169.2631700373727,2185.802424672939,2199.2046072363783,2205.018450026491,2208.0981000368215,2203.0327338278403,2201.935902230668,2197.8007135318194,2199.483651909964,2205.9529183488994,2220.416088465344,2235.0800867003527,2248.8662038132006,2260.5708075231896,2274.34179474309,2281.0475257146704,2286.6794369759004,2282.4728267316236,2282.680039115192,2280.3114806314516,2286.3138224447393,2291.405659564127,2279.072748718695,2266.4003310382373,2260.6362793820836,2274.5769541957625,2284.7422514551836,2293.3928106764065,2304.048432619185,2317.2099211881086,2325.055262122567,2333.598992228453,2337.823674992776,2359.705181017764,2392.1887410085137,2442.028781192557,2488.2821521154956,2543.477894151287,2605.1782212121284,2668.634506672309,2715.884573637664,2750.005223587338,2762.462169238284,2763.2798979070103,2781.4246149008845,2821.9360452044652,2881.572720136362,2926.8325725631403,2974.7443172580433,3012.9459894964148,3051.921668702027,3062.7017523013583,3058.6052844865167,3028.6755271310526,3003.480629054512,2993.037270254985,3003.638807122909
38128,9,Dallas,city,TX,TX,"Dallas-Fort Worth-Arlington, TX",Dallas County,1133.483791448224,1141.2061528070653,1156.4338623009235,1168.2454362672352,1179.4279680180493,1187.5632747935952,1190.6851856715464,1188.2447038605205,1186.8258958094518,1187.811299533173,1194.7250578875808,1201.9917501219422,1215.144823120222,1221.862040882175,1226.1305144319672,1232.9751569844113,1240.6802446400868,1245.8692866599754,1243.8312549987318,1246.8029230422335,1254.0861864092099,1260.1247746673191,1257.2681830420936,1252.5382892334724,1259.349143420307,1268.6147953407137,1284.3521808607557,1290.8040714848512,1297.2292877527948,1297.386816546248,1295.3781131373871,1296.6452438851784,1294.8303016540553,1294.694217103376,1296.1130881997753,1305.8318050736116,1311.7659186734177,1318.4023716106499,1314.9425224858223,1322.7312718543562,1325.1231641398401,1335.21451018041,1332.3690581173319,1335.1943413871002,1334.8687862185072,1335.9960945132664,1336.125882501894,1341.376469695777,1349.634685926663,1358.4178722777783,1365.1194515739448,1379.6848033010353,1386.4983319035641,1388.7474071869892,1386.6632911068036,1383.581474596919,1378.9668199942075,1371.5956834105114,1370.9905322694785,1378.4680986975202,1386.4794066954564,1385.8046241676745,1379.6174512666496,1374.7551605400959,1373.646708819136,1370.9257365702163,1367.5072512572797,1370.2938136141622,1375.444243527695,1378.4431671857453,1378.987442661302,1385.1679284969505,1397.9695218137067,1419.985199678734,1448.708824357832,1486.726935926171,1525.8918390962112,1557.50455659862,1580.175033195144,1588.033717255732,1599.0976075141355,1604.53453799295,1617.8567419961564,1630.4881337819681,1641.4276599070583,1667.428817639355,1700.8626652363237,1747.4064347620886,1775.350952992969,1782.7548198700113,1779.8608012760164,1760.582473070502,1742.9979055157066,1720.922587579463,1714.1366011621178,1714.6837085979678
